Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text
1-5H,"Three Leaf Clover","Sterling silver three leaf clover.  Made by Carlo Biagi",Carlo Biagi,Bead,"Nature, Garden,Carlo Biagi",TRUE,Material,"Sterling Silver",,,,,1-5H,6,shopify,2,deny,manual,21.6,36,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-5H.jpg,"Three Leaf Clover"
1-5I,"Four Leaf Clover","Sterling silver four leaf clover.  Made by Carlo Biagi",Carlo Biagi,Bead,"Nature, Garden,Carlo Biagi",TRUE,Material,"Sterling Silver",,,,,1-5I,6,shopify,1,deny,manual,21.6,36,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-5I.jpg,"Four Leaf Clover"
1-5J,"Four Leaf Clover","Sterling silver four leaf clover.  Made by Halia",Halia,Bead,"Nature, Garden, Good Luck,Halia",TRUE,Material,"Sterling Silver",,,,,1-5J,6,shopify,1,deny,manual,21.6,36,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-5J.jpg,"Four Leaf Clover"
1-6A,"Four Leaf Clover, Plain","Sterling silver four leaf clover, plain.  Made by Halia",Halia,Bead,"Nature, Garden, Good Luck,Halia",TRUE,Material,"Sterling Silver",,,,,1-6A,6,shopify,3,deny,manual,21.6,36,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-6A.jpg,"Four Leaf Clover, Plain"
1-6B,"Four Leaf Clover, Barrel","Sterling silver four leaf clover, barrel.  Made by Zable",Zable,Bead,"Nature, Garden, Good Luck,Zable",TRUE,Material,"Sterling Silver",,,,,1-6B,6,shopify,1,deny,manual,21.6,36,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-6B.jpg,"Four Leaf Clover, Barrel"
1-6C,"Clover On A Sheild","Sterling silver clover on a sheild.  Made by Carlo Biagi",Carlo Biagi,Bead,"Nature, Garden,Carlo Biagi",TRUE,Material,"Sterling Silver",,,,,1-6C,6,shopify,1,deny,manual,21.6,36,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-6C.jpg,"Clover On A Sheild"
1-6D,"Floral","Sterling silver floral.  Made by Zable",Zable,Bead,"Nature, Garden,Zable",TRUE,Material,"Sterling Silver",,,,,1-6D,6,shopify,1,deny,manual,21.6,36,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-6D.jpg,"Floral"
1-6E,"Flowers","Sterling silver flowers.  Made by Amore & Baci",Amore & Baci,Bead,"Nature, Garden,Amore & Baci",TRUE,Material,"Sterling Silver",,,,,1-6E,6,shopify,1,deny,manual,21.6,36,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-6E.jpg,"Flowers"
1-6F,"Flowers","Sterling silver flowers.  Made by Zable",Zable,Bead,"Nature, Garden,Zable",TRUE,Material,"Sterling Silver",,,,,1-6F,6,shopify,1,deny,manual,21.6,36,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-6F.jpg,"Flowers"
1-6G,"Garden Gnome, 'Mr. Gnome'","Sterling silver garden gnome, 'mr. gnome'.  Made by Ohm",Ohm,Bead,"Nature, Garden,Ohm",TRUE,Material,"Sterling Silver",,,,,1-6G,6,shopify,1,deny,manual,35,35,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-6G.jpg,"Garden Gnome, 'Mr. Gnome'"
