Grid	Row Number	Column Letter	Quantitiy	Price	Retail Price	Brand	Description	Material	Tags
3	1	E	3	28.8	48	Halia	May birthstone 4 CZs, green	sterling silver & cubic zirconia	birthstones
3	1	F	1	28.8	48	Halia	September birthstone 4 CZs, blue	sterling silver & cubic zirconia	birthstones
3	1	G	4	28.8	48	Halia	November birthstone 4 CZs, champagne	sterling silver & cubic zirconia	birthstones
3	1	H	1	28.8	48	Halia	January birthstone 4 CZs, dark red	sterling silver & cubic zirconia	birthstones
3	1	I	1	28.8	48	Halia	March birthstone 4 CZs, aqua	sterling silver & cubic zirconia	birthstones
3	1	J	2	28.8	48	Halia	August birthstone 4 CZs, olive green	sterling silver & cubic zirconia	birthstones
3	2	A	2	28.8	48	Halia	June birthstone 4 CZs, light purple	sterling silver & cubic zirconia	birthstones
3	2	B	1	28.8	48	Halia	July birthstone 4 CZs, red	sterling silver & cubic zirconia	birthstones
3	2	C	2	28.8	48	Halia	October birthtstone 4 CZs, pink	sterling silver & cubic zirconia	birthstones
3	2	D	1	28.8	48	Halia	November birthstone 4 CZs, yellow	sterling silver & cubic zirconia	birthstones
3	2	E	2	28.8	48	Halia	December birthstone 4 CZs, light blue	sterling silver & cubic zirconia	birthstones
3	2	F	1	28.8	48	Carlo Biagi	January birthstone eye, dark red	sterling silver & cubic zirconia	birthstones
3	2	G	4	28.8	48	Carlo Biagi	February birthstone eye, purple	sterling silver & cubic zirconia	birthstones
3	2	H	2	28.8	48	Carlo Biagi	April birthstone eye, clear	sterling silver & cubic zirconia	birthstones
3	2	I	1	28.8	48	Carlo Biagi	May birthstone eye, green	sterling silver & cubic zirconia	birthstones
3	2	J	2	28.8	48	Carlo Biagi	June birthstone eye, pearl	sterling silver & faux pearl	birthstones
3	3	A	3	28.8	48	Carlo Biagi	July birthstone eye, red	sterling silver & cubic zirconia	birthstones
3	3	B	1	28.8	48	Carlo Biagi	September birthstone eye, blue	sterling silver & cubic zirconia	birthstones
3	3	C	2	28.8	48	Carlo Biagi	October birthstone eye, pink	sterling silver & cubic zirconia	birthstones
3	3	D	1	28.8	48	Carlo Biagi	November birthstone eye, yellow	sterling silver & cubic zirconia	birthstones
3	3	E	1	28.8	48	Carlo Biagi	December birthstone eye, light blue	sterling silver & cubic zirconia	birthstones
3	3	F	1	28.8	48	Carlo Biagi	February birthstone wheel, purple	sterling silver & cubic zirconia	birthstones
3	3	G	5	28.8	48	Carlo Biagi	June birthstone wheel, light purple	sterling silver & cubic zirconia	birthstones
3	3	H	2	28.8	48	Carlo Biagi	September birthstone wheel, blue	sterling silver & cubic zirconia	birthstones
3	3	I	4	28.8	48	Carlo Biagi	October birthstone wheel, pink	sterling silver & cubic zirconia	birthstones
3	3	J	3	28.8	48	Carlo Biagi	November birthstone wheel, yellow	sterling silver & cubic zirconia	birthstones
3	4	A	2	28.8	48	Carlo Biagi	December birthstone wheel, light blue	sterling silver & cubic zirconia	birthstones
3	4	B	1	34.2	58	Halia	January birthstone diamonds, red	sterling silver & cubic zirconia	birthstones
3	4	C	1	34.2	58	Halia	February birthstone diamonds, purple	sterling silver & cubic zirconia	birthstones
3	4	D	1	34.2	58	Halia	August birthstone diamonds, olive green	sterling silver & cubic zirconia	birthstones
3	4	E	3	34.2	58	Halia	October birthstone diamonds, pink	sterling silver & cubic zirconia	birthstones
3	4	F	1	28.8	48	Halia	January birthstone narrow diamonds, red	sterling silver & cubic zirconia	birthstones
3	4	G	1	28.8	48	Halia	March birthstone narrow diamonds, aqua	sterling silver & cubic zirconia	birthstones
3	4	H	1	28.8	48	Halia	August birthstone narrow diamonds,light green	sterling silver & cubic zirconia	birthstones
3	4	I	1	28.8	48	Halia	narrow diamonds, orange	sterling silver & cubic zirconia	birthstones
3	4	J	1	34.2	58	Halia	February oval birthstone, purple	sterling silver & cubic zirconia	birthstones
3	5	A	2	34.2	58	Halia	March oval birthstone, aqua	sterling silver & cubic zirconia	birthstones
3	5	B	2	34.2	58	Halia	April oval birthstone, clear	sterling silver & cubic zirconia	birthstones
3	5	C	3	34.2	58	Halia	May oval birthstone, green	sterling silver & cubic zirconia	birthstones
3	5	D	2	34.2	58	Halia	June oval birthstone, light purple	sterling silver & cubic zirconia	birthstones
3	5	E	1	34.2	58	Halia	July oval birthstone, fushia	sterling silver & cubic zirconia	birthstones
3	5	F	1	34.2	58	Halia	August oval birthstone, olive green	sterling silver & cubic zirconia	birthstones
3	5	G	2	34.2	58	Halia	September oval birthstone, blue	sterling silver & cubic zirconia	birthstones
3	5	H	1	34.2	58	Halia	October oval birthstone, pink	sterling silver & cubic zirconia	birthstones
3	5	I	2	34.2	58	Halia	November oval birthstone, champagne	sterling silver & cubic zirconia	birthstones
3	5	J	2	34.2	58	Halia	April oval birthstone, clear	sterling silver & cubic zirconia	birthstones
3	6	A	1	34.2	58	Halia	February oval birthstone, purple	sterling silver & cubic zirconia	birthstones
3	6	B	2	34.2	58	Halia	April round birthstone, clear	sterling silver & cubic zirconia	birthstones
3	6	C	1	34.2	58	Halia	October round birthstone, pink	sterling silver & cubic zirconia	birthstones
3	6	D	2	28.8	48	Halia	Decorative, clear CZs	sterling silver & cubic zirconia	decorative
3	6	E	1	28.8	48	Halia	Decorative, clear CZs	sterling silver & cubic zirconia	decorative
3	6	F	2	28.8	48	Halia	Decorative, pink and clear CZs	sterling silver & cubic zirconia	decorative
3	6	G	1	28.8	48	Halia	pearl dangle	sterling silver & freshwater pearl	birthstones
3	6	H	1	33	55	Moress	January birthstone, star dangle swarovski, dark red	sterling silver & swarovski	birthstones
3	6	I	2	33	55	Moress	April birthstone, star dangle swarovski, clear	sterling silver & swarovski	birthstones
3	6	J	2	33	55	Moress	May birthstone, star dangle swarovski, green	sterling silver & swarovski	birthstones
3	7	A	2	33	55	Moress	June birthstone, star dangle swarovski, light purple	sterling silver & swarovski	birthstones
3	7	B	3	33	55	Moress	October birthstone, star dangle swarovski, pink	sterling silver & swarovski	birthstones
3	7	C	5	33	55	Moress	November birthstone, star dangle swarovski, champagne	sterling silver & swarovski	birthstones
3	7	D	1	33	55	Moress	September birthstone, star dangle swarovski, blue	sterling silver & swarovski	birthstones
3	7	E	1	33	55	Moress	silver gift bag with yellow heart dangle swarovski	sterling silver & swarovski	birthstones
3	7	F	5	36	60	Ohm	January oval birthstone, dark red CZs	sterling silver & cubic zirconia	birthstones
3	7	G	1	36	60	Ohm	March oval birthstone, aqua CZs	sterling silver & cubic zirconia	birthstones
3	7	H	1	36	60	Ohm	September oval birthstone, blue CZs	sterling silver & cubic zirconia	birthstones
3	7	I	2	36	60	Ohm	November oval birthstone, orange  CZs	sterling silver & cubic zirconia	birthstones
3	7	J	1	36	60	Moress	decorative swirls, light blue swarovski	sterling silver & cubic zirconia	decorative
4	1	A	2	36	60	Moress	decorative swirls, clear swarovski	sterling silver & cubic zirconia	decorative
4	1	B	2	36	60	Moress	decorative swirls, pink swarovski	sterling silver & cubic zirconia	decorative
4	1	C	2	36	60	Moress	decorative swirls, champagne swarovski	sterling silver & cubic zirconia	decorative
4	1	D	3	36	60	Zable	January oval birthstone, dark red CZs	sterling silver & cubic zirconia	birthstones
4	1	E	1	36	60	Zable	December oval birthstone, light blue CZs	sterling silver & cubic zirconia	birthstones
4	1	F	2	36	60	Zable	April oval birthstone, clear CZs	sterling silver & cubic zirconia	birthstones
4	1	G	1	36	60	Zable	June oval birthstone, light purple CZs	sterling silver & cubic zirconia	birthstones
4	1	H	1	36	60	Zable	October oval birthstone, pink CZs	sterling silver & cubic zirconia	birthstones
4	1	I	3	36	60	Zable	August oval birthstone, light green CZs	sterling silver & cubic zirconia	birthstones
4	1	J	3	36	60	Zable	November oval birthstone, yellow CZs	sterling silver & cubic zirconia	birthstones
4	2	A	1	36	60	Zable	April teardrop birthstone, clear CZs	sterling silver & cubic zirconia	birthstones
4	2	B	1	36	60	Zable	October teardrop birthston, pink CZs	sterling silver & cubic zirconia	birthstones
4	2	C	1	28.8	48	Zable	Cherries on a stem, CZs and enamel	sterling silver & cubic zirconia	food & beverage
4	2	D	2	28.8	48	Zable	Decorative clear CZs	sterling silver & cubic zirconia	decorative
4	2	E	1	28.8	48	Zable	flower with clear CZs	sterling silver & cubic zirconia	nature
4	2	F	1	22.8	38	Chamilia	silver ring with clear swarovski	sterling silver & swarovski	decorative
4	2	G	2	21	35	Ohm	February round birthstone, purple CZs	sterling silver & cubic zirconia	birthstones
4	2	H	2	21	35	Ohm	October round birthstone, pink CZs	sterling silver & cubic zirconia	birthstones
4	2	I	1	21	35	Ohm	December round swirl birthstone, light blue CZs	sterling silver & cubic zirconia	birthstones
4	2	J	1	21	35	Ohm	October round swirl birthstone, pink CZs	sterling silver & cubic zirconia	birthstones
4	3	A	1	21	35	Ohm	April round swirl birthstone, clear CZs	sterling silver & cubic zirconia	birthstones
4	3	B	2	21	35	Ohm	July round birthstone, red CZs	sterling silver & cubic zirconia	birthstones
4	3	C	1	21	35	Ohm	January round birthstone, dark red CZs	sterling silver & cubic zirconia	birthstones
4	3	D	1	21	35	Ohm	June round birthstone, light purple CZs	sterling silver & cubic zirconia	birthstones
4	3	E	1	21	35	Ohm	orange round CZs	sterling silver & cubic zirconia	birthstones
4	3	F	1	21	35	Ohm	March round birthstone, aqua CZs	sterling silver & cubic zirconia	birthstones
4	3	G	4	25.2	42	Chamilia	silver square with fushia swarovski	sterling silver & swarovski	decorative
4	3	H	1	25.2	42	Chamilia	silver ball with fushia swarovski	sterling silver & swarovski	decorative
4	3	I	1	28.8	48	Ohm	decorative with clear and pink CZs	sterling silver & cubic zirconia	decorative
4	3	J	1	28.8	48	Ohm	decorative double row light green CZs	sterling silver & cubic zirconia	decorative
4	4	A	1	28.8	48	Ohm	retangular red and clear CZs	sterling silver & cubic zirconia	decorative
4	4	B	2	28.8	48	Ohm	"water" with blue CZs	sterling silver & cubic zirconia	nature
4	4	C	1	28.8	48	Ohm	"earth" with amber CZs	sterling silver & cubic zirconia	nature
4	4	D	1	28.8	48	Ohm	"fire" with red CZs	sterling silver & cubic zirconia	nature
4	4	E	2	28.8	48	Zable	spacer with purple CZs	sterling silver & cubic zirconia	spacer
4	4	F	1	28.8	48	Zable	spacer with clear CZs	sterling silver & cubic zirconia	spacer
4	4	G	1	28.8	48	Halia	February round birthstone, purple CZs	sterling silver & cubic zirconia	birthstones
4	4	H	2	28.8	48	Halia	April round birthstone, clear Czs	sterling silver & cubic zirconia	birthstones
4	4	I	2	28.8	48	Halia	January round birthstone, dark red CZs	sterling silver & cubic zirconia	birthstones
4	4	J	2	28.8	48	Halia	decorative with clear CZs	sterling silver & cubic zirconia	decorative
4	5	A	2	28.8	48	Carlo Biagi	decorative with clear CZs	sterling silver & cubic zirconia	decorative
4	5	B	1	28.8	48	Carlo Biagi	decorative with clear CZs, snowflake	sterling silver & cubic zirconia	decorative, nature
4	5	C	2	28.8	48	Carlo Biagi	decorative diamond with clear oval CZs	sterling silver & cubic zirconia	decorative
4	5	D	1	28.8	48	Carlo Biagi	decorative wtih clear CZs	sterling silver & cubic zirconia	decorative
4	5	E	3	28.8	48	Carlo Biagi	decorative ball with clear CZs	sterling silver & cubic zirconia	decorative
4	5	F	3	28.8	48	Carlo Biagi	decorative with clear CZs	sterling silver & cubic zirconia	decorative
4	5	G	1	28.8	48	Carlo Biagi	decorative ball with clear CZs	sterling silver & cubic zirconia	decorative
4	5	H	1	28.8	48	Carlo Biagi	decoartive drum with clear CZs	sterling silver & cubic zirconia	decorative
4	5	I	1	28.8	48	Carlo Biagi	decoartive knot with clear CZs	sterling silver & cubic zirconia	decorative
4	5	J	2	28.8	48	Halia	decorative sunburst wtih clear CZs	sterling silver & cubic zirconia	decorative, nature
4	6	A	1	28.8	48	Halia	decorative ball with clear CZs	sterling silver & cubic zirconia	decorative
4	6	B	2	28.8	48	Halia	decorative barrel with clear CZs	sterling silver & cubic zirconia	decorative
4	6	C	1	28.8	48	Halia	decorative lines with clear CZs, April	sterling silver & cubic zirconia	decorative
4	6	D	2	28.8	48	Halia	decorative swirls with clear CZs	sterling silver & cubic zirconia	decorative
4	6	E	1	28.8	48	Ohm	decorative with light blue CZs, snowflake	sterling silver & cubic zirconia	decorative
4	6	F	2	28.8	48	Halia	decorative with clear CZs	sterling silver & cubic zirconia	decorative
4	6	G	2	28.8	48	Halia	decorative rope design with clear and red CZs	sterling silver & cubic zirconia	decorative
